Id,avg_Cyan,avg_Red,avg_Yellow,avg_TopGreen,centroid_X,centroid_Y,Area,Eccentricity,Perimeter,min_Feret_Diameter (pixels),min_Feret_Diameter (microns),counter_Cyan,counter_Red,counter_Yellow,counter_Green,marking_Cyan,marking_Red,marking_Yellow,marking_Green
1,9.934121622,21.02111486,28.30743243,2.966386555,13.45692568,21.86233108,1184,0.817452061,166.9116882,29,11.328125,0,0,1,0,0,0,0,0
25,12.52485089,52.26322068,10.38906561,3.176587302,636.3882704,61.03280318,5030,0.878177021,408.4751801,64.78229979,25.30558585,0,1,0,0,0,0,0,0
30,6.897663249,34.63009144,9.799020966,2.339796861,829.4915489,54.5238755,10827,0.559801138,561.7300141,114.6166827,44.77214169,0,1,0,0,0,0,0,0
41,9.658426966,28.82533197,6.306843718,2.530612245,583.9838611,26.48947906,4895,0.791565801,384.1909089,68,26.5625,0,1,0,0,0,0,0,0
42,21.80463221,49.15419258,8.219815569,2.749464668,226.1213811,19.04975338,4663,0.948900842,402.8355698,44,17.1875,1,1,0,0,0,0,0,0
43,6.138941262,9.989992748,6.998404641,2.308695652,351.8101523,32.7933285,6895,0.75481321,431.5046174,81,31.640625,0,0,0,0,0,0,0,0
47,9.056626628,14.00706571,10.69869789,2.975782038,955.7608761,43.21550419,9907,0.69117569,528.6761902,113.938627,44.50727616,0,0,0,0,0,0,0,0
87,10.72809668,38.11581067,7.702416918,3.018456376,89.70694864,33.21265525,5958,0.865614843,438.4335495,80.92260079,31.61039094,0,1,0,0,0,0,0,0
89,10.77661893,51.04965753,6.404732254,2.531881804,151.8493151,71.79374222,6424,0.894041278,500.3574311,68.4962242,26.75633758,0,1,0,0,0,0,0,0
93,7.757863936,24.85881492,4.962692026,2.445255474,129.3796635,40.75274323,1367,0.953938451,236.6934342,23.78594524,9.291384859,0,0,0,0,0,0,0,0
123,7.63174237,11.77377573,82.60228886,4.571808511,983.7222321,146.3726047,11272,0.906973978,720.139177,91,35.546875,0,0,1,0,0,0,0,0
127,9.48301107,11.04221402,6.389254613,2.602420307,292.3331661,155.6803247,33875,0.719201911,1056.330086,173.7925293,67.88770674,0,0,0,0,0,0,0,0
164,9.642140895,16.84805518,56.33097017,3.820561941,724.0834132,69.47180175,15657,0.524978681,660.9848481,134.244024,52.43907186,0,0,1,0,0,0,0,0
